"","Carrier_Company_Name","Uniquely_Identified_Carrier","Source_Port","Destination_Port","Distance (Nautical_Miles)","Ship_Length (ft)","Ship_Beam (ft)","Ship_Draft (ft)","Storage_Capacity (#Conatiners)","Is_Shared"
"530","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","26878.6639946233","1187.18766687671","121.709951428189","45.3791919167059","7286","0"
"531","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24384.9500483181","1098.20487565594","136.716800426391","44.8007021380653","16816","0"
"532","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","26402.0989178494","1121.39997450751","124.779374748406","44.020369454507","15399","0"
"533","COSCO","COS-U123453","Shanghai","Rotterdam","21505.4920790903","1023.47123781336","135.173846198147","44.4329326973545","15368","0"
"534","CMA CGM","CMA-U123453","Tokyo","Busan","24334.1050894931","1119.96750690159","134.291203488683","42.3746220446126","15933","0"
"535","Maersk","MAE-U123453","Bremerhaven","Qingdao","15088.0630611163","1154.33677259018","137.426910256814","44.4762938523794","17639","0"
"536","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23896.9054655638","1124.17447616113","129.027287836994","44.0119369546477","15960","0"
"537","COSCO","COS-U123453","Shanghai","Rotterdam","21087.0054508746","1116.68999789748","148.365980430711","44.5187676109323","18440","0"
"538","COSCO","COS-U123453","Shanghai","Rotterdam","15082.4445279222","1141.08155717375","136.172550221553","46.7406297380447","18157","0"
"539","Maersk","MAE-U123453","Bremerhaven","Qingdao","19378.1475260854","1064.16910349624","138.6462625432","43.0021212059804","15862","0"
"540","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","26822.4836830236","975.671354436781","135.957600150997","45.6507135968225","6728","0"
"541","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19704.1973058041","1029.35748855001","123.810455445443","45.2747706062305","14425","0"
"542","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17263.4276672266","997.538351645926","131.940055285302","43.3872453358913","14276","0"
"543","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19288.3892631903","1112.28692065692","135.374966614973","44.3594240520864","16699","0"
"544","COSCO","COS-U123453","Shanghai","Rotterdam","20205.121259205","1186.53242514818","128.667046832531","44.7976755324142","17098","0"
"545","CMA CGM","CMA-U123453","Tokyo","Busan","18744.6145924553","1027.13687708601","132.258131647359","44.3285746584134","15055","0"
"546","Maersk","MAE-U123453","Bremerhaven","Qingdao","15025.7488776371","1186.56760817161","137.067881794213","43.9702589117365","17878","0"
"547","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21986.9761107769","1193.39914011885","138.181443798312","44.9362261525724","18526","0"
"548","COSCO","COS-U123453","Shanghai","Rotterdam","23635.1969889365","997.821025914745","141.806201177821","44.990516463631","15915","0"
"549","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","26790.2908396348","996.453085587127","133.84596225766","44.1451394517163","14719","0"
"550","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19806.2608502246","983.351785126142","127.999188406868","43.6595904904401","6106","0"
"551","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","26080.6186856143","1021.00837063743","138.237431429555","42.6897458506288","15063","0"
"552","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21121.6671042982","1119.55373605015","139.07291595302","45.622297878989","17758","0"
"553","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","17811.0790839326","1128.09762722114","136.656149111343","46.1883459523068","17801","0"
"554","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17425.8923714049","1196.82430241606","146.217732839497","46.4207363972801","20309","0"
"555","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","18804.3401885871","1046.1345495563","136.307988466244","45.3528010879268","16168","0"
"556","COSCO","COS-U123453","Shanghai","Rotterdam","18688.1666316837","1070.54959659115","129.6408360991","44.1843781159725","15331","0"
"557","Maersk","MAE-U123453","Bremerhaven","Qingdao","23866.1652515922","1172.86637900164","135.698662885715","42.1322878749315","16764","0"
"558","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23863.1680610497","1060.70283323061","133.581745472926","43.8937195036016","15548","0"
"559","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","26752.6570669468","1184.49971307185","132.772886984388","44.1433929104416","17356","0"
"560","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","23541.6895520501","1198.58816046268","124.801463930556","44.5666876225076","7407","0"
"561","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22464.9045323487","1197.10056329728","132.909027005509","45.1341116932526","17953","0"
"562","Maersk","MAE-U123453","Bremerhaven","Qingdao","19576.7414883804","1187.68974778941","129.837050221763","43.9288685946069","16935","0"
"563","COSCO","COS-U123453","Shanghai","Rotterdam","21242.4711415172","966.377949379385","129.430171298144","43.749499256435","13680","0"
"564","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","16644.285777295","982.023428018438","135.709454881004","43.9361963345125","14638","0"
"565","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16511.5474907868","988.24153339956","137.129550862333","43.2127158910427","14640","0"
"566","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19450.4102466814","1030.9493905073","131.103011870911","44.6438061247892","15085","0"
"567","CMA CGM","CMA-U123453","Tokyo","Busan","25467.2476651054","1024.748408905","128.124860698249","42.774028103357","14040","0"
"568","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","15269.9694904592","1195.42734754737","139.318183714824","43.1368823790091","17961","0"
"569","CMA CGM","CMA-U123453","Tokyo","Busan","21136.1019895412","1018.74151454191","128.081618433108","44.480410898937","14510","0"
"570","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","23157.216925621","1007.54882004345","145.913854007799","45.6442432705146","7456","0"
"571","Maersk","MAE-U123453","Bremerhaven","Qingdao","16335.9235796705","1113.4606361913","132.644727805036","44.9536481300455","16599","0"
"572","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21775.8394255769","1118.96527975099","132.781112849584","43.6879889013973","16228","0"
"573","CMA CGM","CMA-U123453","Tokyo","Busan","21286.5970973577","1103.00165776862","135.850791128127","44.0617526780363","16506","0"
"574","Maersk","MAE-U123453","Bremerhaven","Qingdao","18095.4808899947","1066.87304158113","125.5641537341","47.0404455362558","15754","0"
"575","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","19733.7535629608","1162.9797574773","138.202606858967","44.6955470107537","17959","0"
"576","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","23654.0789834317","965.814276604215","147.286321533655","44.6089905058814","15864","0"
"577","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22189.6677997895","1090.8679989248","141.540793925567","44.5188486667413","17185","0"
"578","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19772.1253257617","985.542388366302","137.053846428024","43.8904084993225","14821","0"
"579","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","25898.5872096755","1176.96793948067","135.303090317177","44.4557952237288","17699","0"
"580","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26828.1896061078","1088.97743398673","122.705805272861","45.0877436972887","6694","0"
"581","COSCO","COS-U123453","Shanghai","Rotterdam","21849.4342376199","1135.79130703234","130.612358166135","44.7562719615896","16599","0"
"582","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16794.4212074205","1000.05201499211","134.333827707328","44.366223037061","14900","0"
"583","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23591.3867834955","1117.58583177696","130.683881584862","43.6314558079585","15931","0"
"584","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","19375.0183268543","1060.94414680148","137.670954557074","45.7429340277178","16703","0"
"585","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17414.925944265","1114.99493529787","139.997402657917","45.4429862963719","17734","0"
"586","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20567.5683362223","1116.40196646331","134.666487978227","43.5857297212516","16382","0"
"587","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","22753.8699887227","1107.86187378573","139.396010349106","43.1424824000754","16656","0"
"588","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","26383.7854555249","1011.54597521876","132.920323033274","42.674476743751","14344","0"
"589","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22720.0070646219","1154.66432388406","127.715816071887","44.2908524890302","16329","0"
"590","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25878.942831466","972.322714795591","137.449193998257","44.4531160312829","6601","0"
"591","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","25138.165765442","1189.52772326651","135.325134247283","44.6417825159195","17965","0"
"592","CMA CGM","CMA-U123453","Tokyo","Busan","24815.8771974687","1110.4427962855","141.129127148757","44.5057846867436","17437","0"
"593","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25408.2818885799","1065.11140776216","128.462921918706","43.318961465891","14818","0"
"594","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18251.5977866203","1088.92671759124","131.990637546951","44.6239360286766","16034","0"
"595","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","16787.5329041574","1008.57186435838","127.620394842425","45.4687650364835","14631","0"
"596","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","25228.5841934849","994.861946852179","130.071240662312","44.8230785434959","14501","0"
"597","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19746.8558118492","1039.10645078635","141.641259306727","44.2521989133774","16283","0"
"598","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","15567.5624953397","1043.08217965299","128.787737794841","45.3586287594425","15233","0"
"599","COSCO","COS-U123453","Shanghai","Rotterdam","25675.5144579057","1071.03844441357","136.051726872241","44.4330281563282","16187","0"
"600","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","22580.3871022537","1020.78278166824","133.790621552649","43.9638546467297","6671","0"
"601","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","26090.2383336984","1107.1720908978","138.576949000515","45.5145967849494","17458","0"
"602","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","23884.7938115336","1174.74579199683","130.639992630746","42.7854964347818","16416","0"
"603","Maersk","MAE-U123453","Bremerhaven","Qingdao","23583.7979919277","1099.12056962145","125.60959163729","42.7603346633514","14759","0"
"604","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","21483.758788202","1152.53518868587","139.642765655948","46.0196433454972","18516","0"
"605","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18137.7825424634","1131.49568721885","144.639010688703","42.8798912731121","17544","0"
"606","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18632.0047971513","1135.29180479236","129.662937148932","45.9383120152828","16906","0"
"607","COSCO","COS-U123453","Shanghai","Rotterdam","24336.7480569519","1110.54380251677","132.006841372232","45.9164776104138","16828","0"
"608","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17168.6797939986","1038.67482942878","124.802709555508","43.3711114325696","14055","0"
"609","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21532.6985483989","1120.10642961832","134.411843895902","44.0210023372247","16569","0"
"610","Maersk","MAE-U123453","Bremerhaven","Qingdao","22706.0211361572","1117.31160925585","129.479651837273","44.8991314168102","7217","0"
"611","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","22443.5279152449","1070.63543647993","142.692642677272","44.179337221923","16873","0"
"612","COSCO","COS-U123453","Shanghai","Rotterdam","24759.5600947179","1077.80790831195","141.206443495735","44.338290670617","16870","0"
"613","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18896.0361564718","1025.55002528708","125.769257010584","45.9954120104554","14832","0"
"614","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","22012.502502948","1194.01077487157","131.429680146951","42.7379318302994","16767","0"
"615","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24247.5445763022","1003.27350454871","135.782922019706","45.5569630902796","15515","0"
"616","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20004.8318240605","1006.43094853964","127.984524630085","44.9936833972048","14489","0"
"617","Maersk","MAE-U123453","Bremerhaven","Qingdao","15953.1733146496","965.995701213833","124.602882177604","45.0354449305135","13552","0"
"618","COSCO","COS-U123453","Shanghai","Rotterdam","24487.5407700241","1014.38296261709","133.236871074512","43.8489663672422","14816","0"
"619","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16423.0825506896","1109.71472441102","144.282311837169","44.242550447764","17709","0"
"620","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20906.329472512","1155.47553971992","129.002599631278","43.4736794669328","7200","0"
"621","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","23262.93526439","1099.04553877539","133.038614414711","43.8548115284683","16031","0"
"622","CMA CGM","CMA-U123453","Tokyo","Busan","20262.8681716416","1152.27705516969","141.910318818956","44.4071676288974","18154","0"
"623","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","25763.7711852416","1053.54994276538","126.679139514405","44.1561691646905","14733","0"
"624","Maersk","MAE-U123453","Bremerhaven","Qingdao","16784.2257414479","1181.57678012969","145.510636447388","45.2156059696824","19435","0"
"625","COSCO","COS-U123453","Shanghai","Rotterdam","26780.7117000315","1106.22207851848","140.838505987565","42.008987293395","16362","0"
"626","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","20723.0426513404","1197.93030537199","131.726730583533","44.5789511729873","17586","0"
"627","CMA CGM","CMA-U123453","Tokyo","Busan","20619.0570604149","1033.42598583666","131.23558503067","42.4372263102993","14389","0"
"628","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16650.7326280139","1072.97245579306","136.739877889465","44.4001371446421","16286","0"
"629","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","19980.8174672909","1191.85431867721","142.910529348888","44.3808047364975","18898","0"
"630","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","24928.1226294301","1183.06735659251","122.792852161751","44.7773057522342","7228","0"
"631","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","26607.4332838878","1018.99692958803","130.280928107423","43.7468793254596","14519","0"
"632","COSCO","COS-U123453","Shanghai","Rotterdam","24329.4299488887","1116.57957096701","132.664554189474","43.7919697672334","16217","0"
"633","COSCO","COS-U123453","Shanghai","Rotterdam","26150.6990405079","1134.30737288552","138.886491385043","44.5599596765149","17550","0"
"634","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24950.8172893245","1140.77828974463","130.715546220446","43.7481852308694","16309","0"
"635","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","16302.7622447535","1037.36844747793","120.442317009418","46.0513736252714","14384","0"
"636","COSCO","COS-U123453","Shanghai","Rotterdam","26381.1328539904","1102.98393141129","127.077089844786","43.343498991768","15188","0"
"637","Maersk","MAE-U123453","Bremerhaven","Qingdao","26831.4021678921","1173.90144107281","130.305817565795","45.5060893107992","17402","0"
"638","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20344.8608661164","988.954092912609","129.994812947951","43.5361296676573","13992","0"
"639","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24212.6925758924","1163.3788480761","129.618499630856","44.9317082284749","16939","0"
"640","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","26813.08281946","1082.46151502361","131.163576549392","45.0314750982411","7104","0"
"641","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","25149.8712254874","1092.44745328324","127.863732016211","44.7517900277634","15628","0"
"642","COSCO","COS-U123453","Shanghai","Rotterdam","18949.9170661904","1055.14645945746","138.463102705883","43.6678668781706","15950","0"
"643","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","24871.7421901692","1029.67635024921","132.877657023205","43.5081756854439","14882","0"
"644","CMA CGM","CMA-U123453","Tokyo","Busan","21198.081312133","1056.22550970525","135.814769977136","43.8346596256297","15720","0"
"645","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24478.1661228742","1008.47564428463","132.832772847469","43.1710243005287","14458","0"
"646","CMA CGM","CMA-U123453","Tokyo","Busan","21939.1764962766","1037.23067536717","125.242612502065","43.9621429778374","14277","0"
"647","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20141.5446135029","1118.79214690183","130.556602322725","44.9620794716738","16419","0"
"648","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17188.5832937155","1008.70904915617","140.35603702946","44.6030190276488","15787","0"
"649","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","19074.2095681932","1109.41266230308","128.628461010741","44.9466642506102","16035","0"
"650","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16003.437623335","966.959908357821","135.702569825374","43.2463900574329","6305","0"
"651","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22320.8458334953","987.535685307812","133.06305933783","44.2232816360873","14528","0"
"652","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17800.8572272863","998.446713282028","136.300909432639","45.185959140627","15373","0"
"653","COSCO","COS-U123453","Shanghai","Rotterdam","19850.8147880528","1065.53973679664","126.285608828262","45.3982649616279","15272","0"
"654","COSCO","COS-U123453","Shanghai","Rotterdam","23506.2150183041","1158.84043940576","131.653910808526","42.4274711471496","16182","0"
"655","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18885.3347037546","1057.89957846515","121.393974926144","43.3444819382742","13916","0"
"656","Maersk","MAE-U123453","Bremerhaven","Qingdao","15153.7395729683","1107.68725476228","137.65049283707","44.53914742529","16978","0"
"657","CMA CGM","CMA-U123453","Tokyo","Busan","21045.7317844313","1105.05493231001","139.295887172148","43.1712950658907","16613","0"
"658","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18831.5018952638","972.609471201431","129.83014981724","42.8582960768181","13530","0"
"659","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","21150.6804205757","975.406901095994","130.83739121403","42.8577422371185","13674","0"
"660","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","22251.5053440817","1149.41992661334","134.805861875486","44.256900353946","7619","0"
"661","COSCO","COS-U123453","Shanghai","Rotterdam","23133.5547340102","1161.36159862508","133.402385931402","43.8868650906118","16998","0"
"662","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","25558.3145496994","1085.86782290018","131.715023259278","44.4835936752898","15906","0"
"663","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23761.3560564537","1071.05966214789","132.530603405129","44.7294975588704","15873","0"
"664","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","23196.1815367453","1192.70635391353","129.909946139383","43.364128257554","16798","0"
"665","COSCO","COS-U123453","Shanghai","Rotterdam","15269.7957728337","1024.33705323725","128.601521111567","44.278350354705","14582","0"
"666","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","17726.2978487089","1053.48490433767","132.72619437635","46.7251440882816","16333","0"
"667","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17909.3054061569","1126.25231148093","123.700131637679","44.8579933581775","15624","0"
"668","CMA CGM","CMA-U123453","Tokyo","Busan","21431.3915541396","1069.9983547267","129.217427421587","43.9435451570934","15189","0"
"669","COSCO","COS-U123453","Shanghai","Rotterdam","20322.5725689344","1148.35811345954","132.531189997537","44.0998029747048","16779","0"
"670","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24287.4282970559","1080.9934074129","139.520923080165","44.7470733271605","7499","0"
"671","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19340.1022320427","1139.79415909969","135.037401683979","45.5464233488517","17526","0"
"672","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","19312.9204910249","1040.78663128894","122.039785669044","45.2543549955762","14370","0"
"673","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","20691.706576841","1041.07194698881","122.487316259668","42.4164277513322","13522","0"
"674","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","16402.1786090545","1162.71224719821","129.030576788595","43.4531220237002","16298","0"
"675","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21394.8724105395","1194.93143533589","136.23111047638","45.048630873803","18333","0"
"676","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","18462.7691024914","1159.27212527255","133.207383218504","44.5162166877138","17186","0"
"677","COSCO","COS-U123453","Shanghai","Rotterdam","22187.8411508258","1010.69331021048","129.448327906676","44.7339693126872","14632","0"
"678","Maersk","MAE-U123453","Bremerhaven","Qingdao","19312.5965006277","1139.68079916085","129.720180554649","44.1206065807148","16307","0"
"679","COSCO","COS-U123453","Shanghai","Rotterdam","23440.5265959352","1031.44727377919","131.009347860722","45.2880182715939","15299","0"
"680","CMA CGM","CMA-U123453","Tokyo","Busan","20783.1424938329","1034.33568739332","136.405366405132","45.153912180004","7079","0"
"681","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25593.0122444686","1140.09064135142","133.109316605586","43.7704801692051","16606","0"
"682","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19146.4719209075","985.5937199248","118.932097652083","45.0040209580663","13188","0"
"683","Maersk","MAE-U123453","Bremerhaven","Qingdao","22273.2807754073","1185.84602048621","138.619383623346","44.1327065448296","18136","0"
"684","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","18747.9270106182","1184.44869328057","122.493649638539","44.6237197684484","16186","0"
"685","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18839.5143206231","1046.80844150833","125.01299543445","44.3085377886531","14496","0"
"686","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","19456.5483035613","1193.79184156889","130.124519836316","44.8642105354904","17423","0"
"687","COSCO","COS-U123453","Shanghai","Rotterdam","23714.1555885226","1024.951353824","127.354446854588","44.219464979813","14430","0"
"688","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17206.5292421915","1137.81164077925","133.50962049267","45.3005315479828","17204","0"
"689","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","17786.2683378998","1084.39616575022","131.0186817202","43.5539039705826","15470","0"
"690","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","25056.5841801837","1110.04049259122","127.743710341463","44.7081108430085","7044","0"
"691","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","26254.1782104224","1035.9534742916","125.714793863638","43.3258400112498","14106","0"
"692","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","22605.424045762","1148.36047524121","124.42587914008","44.4865315824116","15891","0"
"693","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","18192.4539359752","1008.33087234874","129.387660574818","45.3190957180666","14781","0"
"694","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","25633.2697828487","1004.36493175803","137.680693532504","45.857046348159","15853","0"
"695","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","22718.5697921924","1143.77064128523","122.985889660442","45.107791306337","15863","0"
"696","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","24028.1763852574","994.030249748612","123.693206298922","44.6473335673629","13724","0"
"697","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26675.2436840348","1151.20614725514","128.442798356208","44.78670853383","16556","0"
"698","Maersk","MAE-U123453","Bremerhaven","Qingdao","15305.9649640974","987.527718883939","141.436372973368","44.6741834307044","15599","0"
"699","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","16803.8771066442","1076.92514452618","121.109781247859","43.406183669459","14153","0"
"700","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20386.3753180671","986.22719124076","135.164207877515","45.8345217627017","6789","0"
"701","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","17228.6468145903","1000.43212434044","135.970092246387","45.187971491708","15367","0"
"702","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","21781.7109424621","966.354662261438","132.123799999631","43.5282586803793","13894","0"
"703","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","25670.1603459287","1086.66843323386","124.055726329196","44.4734032799846","14988","0"
"704","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17239.9257752392","1046.65184342884","139.493673204346","44.8500341275671","16370","0"
"705","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","15644.3415588699","1163.86941395584","141.807889599429","43.8861213341314","18108","0"
"706","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","17490.8509883378","1104.66325004003","131.938025515651","45.1948437617745","16468","0"
"707","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25325.2274514735","965.95840601949","127.656452206892","42.4350922946806","13082","0"
"708","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","21417.8863779455","1179.58920415491","129.767972964228","45.9847415415128","17598","0"
"709","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","26696.4911220968","1184.06713819248","131.543626949831","44.1036735357085","17174","0"
"710","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26029.6276805084","1159.63093880797","129.807946798988","42.5658553552762","7119","0"
"711","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","22909.2787877005","967.746047779219","126.494445918202","44.8042998772065","13712","0"
"712","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","20441.0234299209","1072.65505548217","122.549916891625","44.5287321655238","14634","0"
"713","Maersk","MAE-U123453","Bremerhaven","Qingdao","25515.6895623822","1073.91633279272","121.123674428514","44.8344028688482","14580","0"
"714","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15434.8522508238","1046.71096703387","138.513399620455","44.7021595018122","16203","0"
"715","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","25084.8291215301","1131.82145337458","131.699536453375","44.6653515506842","16645","0"
"716","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","23394.5468038414","1049.75736794644","132.638903998333","44.3234377249266","15429","0"
"717","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","23831.6346110869","1108.52502071182","134.536769352289","43.4651479619847","16206","0"
"718","Maersk","MAE-U123453","Bremerhaven","Qingdao","22404.5031900331","1166.8731858721","126.684763722685","44.4727519141093","16435","0"
"719","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","26617.384711504","977.768355178414","139.622577672843","43.0055145411331","14678","0"
"720","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","23242.3003881332","1088.73390308232","121.071607409584","43.3349532846354","6347","0"
"721","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","25254.3477144744","968.575577285374","131.128037205945","44.4474067134117","14113","0"
"722","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","17296.2673767004","1116.76261766348","132.46083305838","43.6051945186041","16126","0"
"723","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","24102.5280517247","1125.48380671418","133.139515361366","46.0544446444874","17253","0"
"724","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","26839.8142483458","978.731085942127","135.716775400114","44.7365166929572","14856","0"
